name,forca,percentage,color
mario,-0.05282305216688566,47.361169477080594,#C00000
donkey-kong,0.0419534201814836,52.09654587785009,#814E1D
link,-0.011700706870563654,49.41496210563571,#0A7C46
samus,0.07852656747971329,53.9184728759041,#e89410
dark-samus,0.11279309359687775,55.61613776455735,#573d71
yoshi,-0.0073402397364552285,49.632976254852124,#6ba57a
kirby,-0.10374023973645549,44.831259284632075,#c27ba0
fox,-0.1506870696954251,42.52179148936167,#cf9f55
pikachu,-0.05198706969542488,47.40285608834466,#7f6000
luigi,0.06711293030457444,53.35078449787131,#7ee051
ness,0.030512930304574158,51.52524942407848,#e75050
captain-falcon,-0.03588706969542493,48.20632682143704,#d0be22
jigglypuff,-0.117387069695426,44.15716863927531,#e521e5
peach,0.03491293030457465,51.7450247733172,#e89ce8
daisy,-0.008787069695425032,49.56063585677551,#e8d39c
bowser,0.004912930304575555,50.245656820896656,#8a6658
ice-climbers,0.008169104708144526,50.40846657106106,#7695b2
sheik,-0.16922572520878837,41.61815754859814,#8948d2
zelda,0.04587386534333231,52.29220010584438,#522f79
dr-mario,0.08047177480797045,54.01512586757984,#d2291e
pichu,-0.02617367995656382,48.69154937392983,#ffd966
falco,-0.0660481113248539,46.702223753436215,#a29f9f
marth,-0.19588221542954842,40.32879082996303,#68b3ca
lucina,-0.19785503822015388,40.23387174073657,#a9c3cc
young-link,-0.04112458697344081,47.94482641662709,#82e555
ganondorf,-0.0844924661904016,45.78519149787042,#3e1a52
mewtwo,-0.08529432664728973,45.74538407879734,#aa75c7
roy,-0.11945906939589951,44.05500313608508,#c85816
chrom,-0.07635786183447163,46.189319962463614,#2b16c8
mr-game-and-watch,0.038768236270459076,51.93753804315732,#4c4444
meta-knight,-0.0006263025962690641,49.96868330852517,#9f7b9d
pit,-0.11512870044089284,44.26857993008392,#dbd825
dark-pit,-0.085655743479604,45.72744373831507,#43470c
zero-suit-samus,-0.038871657378665714,48.057298428948684,#5464f0
wario,-0.017584959325672958,49.12079870388398,#e5dc4a
snake,0.15443060749900528,57.66110424516806,#57724a
ike,0.05571432755713366,52.78297643853852,#729abf
pokemon-trainer,-0.032495554094634296,48.37571280130277,#e82727
diddy-kong,-0.016081470514899554,49.19595558861335,#a46418
lucas,-0.0012503923089075032,49.93747729116146,#b0ac62
sonic,0.07781589783103043,53.883153905016044,#233f85
king-dedede,0.06109644133250844,53.05117891774024,#d7a5a5
olimar,0.0035319664340596746,50.17660641717043,#baafaf
lucario,-0.04592967518421503,47.70501513470878,#5b8dba
rob,0.11782512879753895,55.864435193508086,#bcbcbc
toon-link,0.01022272393369085,50.511143946294446,#65ff6b
wolf,-0.04452940197502592,47.774889230448686,#66588a
villager,-0.028193613423612564,48.59062229098004,#ea9999
mega-man,0.03799210086210185,51.898786450631164,#2986cc
wii-fit-trainer,0.09554432167306566,54.76296904339017,#d1d8df
rosalina,-0.021962344993600995,48.90200439385026,#9fc5e8
little-mac,0.013198252617735055,50.65990730586192,#9fe8c2
greninja,0.013861144191219893,50.69304747317657,#004bcc
palutena,0.03890414282559801,51.94432347038151,#037412
pac-man,0.05154626335955646,52.575161460045884,#d6e700
robin,0.07348902570429648,53.66803348514257,#8e7cc3
shulk,-0.029961961124791478,48.50227523556737,#c52626
bowser-jr,0.08320424401489927,54.150844980092685,#8fce00
duck-hunt,0.12083091068156596,56.012611538196865,#ffd966
ryu,0.06309950444275135,53.150951774513835,#894141
ken,0.15378521872846554,57.62958770851162,#ca5d5d
cloud,-0.05240065208661317,47.3822321754327,#676767
corrin,-0.11306731875327986,44.37032370481109,#cacaca
bayonetta,0.1327660145800538,56.599895887662,#20124d
inkling,-0.010867318753279787,49.456628286492396,#eab11f
ridley,0.003963793376816755,50.198198540212346,#720564
simon,0.1061352219482452,55.2871865153879,#714b0f
richter,0.13498615586818646,56.70894214242311,#134f5c
king-k-rool,0.008636155868186259,50.431818647308326,#057218
isabelle,0.027974748574725726,51.39844254738184,#f2ff4f
incineroar,0.008230304130281293,50.41152648940624,#d86448
piranha-plant,-0.04639191809194084,47.6819510194209,#5caa46
joker,-0.13827600491694025,43.12959070672453,#c70000
hero,-0.012345917030724851,49.382704649550995,#c425cc
banjo-and-kazooie,0.03021598773118006,51.51041523586073,#a2cc25
terry,0.1009178695085863,55.02908288755054,#e5b1b1
byleth,-0.12104229451554728,43.976971851081444,#33dbb9
min-min,0.1451366528528735,57.20665944183464,#bf9000
steve,0.20127866760188579,59.930676549116015,#85afb7
sephiroth,-0.09762858704375496,45.13377884316247,#999999
pyra-and-mythra,-0.06055081128749418,46.976003252957184,#c069a5
kazuya,0.1108139994568249,55.51840502534363,#5e5e5e
sora,-0.04806031010108385,47.598713069942875,#cc6756
