name,forca,percentage,color
mario,-0.051100997246757755,47.447044408346045,#C00000
donkey-kong,0.04172198739278847,52.084993894226464,#814E1D
link,-0.010975782650965493,49.45120546737942,#0A7C46
samus,0.05310495137719673,52.652886717024764,#e89410
dark-samus,0.06744612771774616,53.367370005614546,#573d71
yoshi,0.009640103228997316,50.482014328854575,#6ba57a
kirby,-0.09036589666187729,45.49373983809899,#c27ba0
fox,-0.08274667833567698,45.871877628804086,#cf9f55
pikachu,-0.03927678544807722,48.03707191348326,#7f6000
luigi,0.0945244347116417,54.712430016503596,#7ee051
ness,0.04282468661691105,52.140033181039044,#e75050
captain-falcon,-0.065161402670041,46.746371098794555,#d0be22
jigglypuff,-0.10562775760734759,44.737905583889535,#e521e5
peach,0.01674403128906195,50.83716518157223,#e89ce8
daisy,-0.032948948136053355,48.3530662259401,#e8d39c
bowser,-0.012583614802720099,49.370821013408204,#8a6658
ice-climbers,0.036003519567446775,51.79948844559513,#7695b2
sheik,-0.17361236407389075,41.40513665987783,#8948d2
zelda,0.04698961561424764,52.34787028501764,#522f79
dr-mario,0.0750427801712093,53.745298103533926,#d2291e
pichu,-0.036035700841448526,48.19890449637916,#ffd966
falco,-0.0655470932465121,46.72716775195537,#a29f9f
marth,-0.198747093246512,40.19097596551514,#68b3ca
lucina,-0.21009646033511928,39.646555962300155,#a9c3cc
young-link,-0.04395721982879071,47.80344383057342,#82e555
ganondorf,-0.0466499459982191,47.66907686421383,#3e1a52
mewtwo,-0.09347733757483043,45.33946748009274,#aa75c7
roy,-0.12331350897052099,43.86508418911369,#c85816
chrom,-0.07545709871411174,46.23410181493019,#2b16c8
mr-game-and-watch,0.017687331561936612,50.88431857188627,#4c4444
meta-knight,0.01352633310154222,50.67630922106295,#9f7b9d
pit,-0.10476840374056316,44.78040333110166,#dbd825
dark-pit,-0.10790276176050043,44.62543675585853,#43470c
zero-suit-samus,-0.033203047633114366,48.34037450737495,#5464f0
wario,-0.037039388632238976,48.14878454803279,#e5dc4a
snake,0.14732610545670638,57.31382921353349,#57724a
ike,0.07524604510012547,53.755404676272164,#729abf
pokemon-trainer,-0.02975755739385226,48.5124868247646,#e82727
diddy-kong,-0.0014258818566117368,49.92870239078892,#a46418
lucas,-0.023059641845469075,48.84716461076292,#b0ac62
sonic,0.0751266595243944,53.74946872155324,#233f85
king-dedede,0.08802170598172969,54.3899724992147,#d7a5a5
olimar,0.008873760776249781,50.44369857596539,#baafaf
lucario,-0.06346288649562262,46.830950789996756,#5b8dba
rob,0.11593437377834974,55.77117273033605,#bcbcbc
toon-link,0.014798671311699263,50.73991654357688,#65ff6b
wolf,-0.05772610805107894,47.116752509672665,#66588a
villager,-0.016932783597672064,49.1533994069057,#ea9999
mega-man,0.05888868039357521,52.941181802046344,#2986cc
wii-fit-trainer,0.09570004147786733,54.770684652079694,#d1d8df
rosalina,-0.03349382079653747,48.32585128151958,#9fc5e8
little-mac,-0.013255504104660434,49.337230477488866,#9fe8c2
greninja,0.014143432860369988,50.70715984487525,#004bcc
palutena,0.057713437641001814,52.88261604440323,#037412
pac-man,0.08764040974074944,54.37105307452613,#d6e700
robin,0.0988359703885358,54.92601443898402,#8e7cc3
shulk,-0.01611360816535748,49.1943490421297,#c52626
bowser-jr,0.06146974546692878,53.06977512279685,#8fce00
duck-hunt,0.12901691210578706,56.415607328928175,#ffd966
ryu,0.0787388274918132,53.92902104563855,#894141
ken,0.13664322826586048,56.790289974413966,#ca5d5d
cloud,-0.03308028364587279,48.346506275548904,#676767
corrin,-0.09909214617771606,45.06130078305033,#cacaca
bayonetta,0.11896065726145857,55.9204258821136,#20124d
inkling,-0.009379866291716998,49.53099699163385,#eab11f
ridley,-0.013582897886963256,49.3208629178947,#720564
simon,0.11661142291930184,55.804573240200696,#714b0f
richter,0.14645423723507822,57.27116099951907,#134f5c
king-k-rool,-0.022213077338908222,48.88947326494952,#057218
isabelle,0.030885648665765666,51.54386871876282,#f2ff4f
incineroar,-0.013018497861498703,49.34907933689938,#d86448
piranha-plant,-0.04296072008372069,47.85317730569808,#5caa46
joker,-0.1511584558892839,42.49874988612605,#c70000
hero,0.0029638233874106495,50.1481981449494,#c425cc
banjo-and-kazooie,0.04634624341877118,52.31577003667607,#a2cc25
terry,0.07942768915248442,53.963251299772885,#e5b1b1
byleth,-0.13125139988079781,43.47453390143882,#33dbb9
min-min,0.1571040796706124,57.79159235814627,#bf9000
steve,0.19167853281756925,59.46871506228676,#85afb7
sephiroth,-0.1139613833351403,44.32618944002907,#999999
pyra-and-mythra,-0.0745010711017419,46.28163781316186,#c069a5
kazuya,0.09515048860915085,54.74345437234667,#5e5e5e
sora,-0.04493385329396108,47.754706069494816,#cc6756
