name,forca,percentage,color
mario,-0.07211998292441116,46.400060459883825,#C00000
donkey-kong,0.0026433504223282306,50.13217382161572,#814E1D
link,-0.03800899851902554,48.1003698433338,#0A7C46
samus,0.10586666666666643,55.273907856360296,#e89410
dark-samus,0.08761717595165207,54.369900203233435,#573d71
yoshi,-6.245004513516506e-17,49.99999999999999,#6ba57a
kirby,-0.12213333333333308,43.92321589827671,#c27ba0
fox,3.920475055707584e-16,50.00000000000002,#cf9f55
pikachu,-0.05820899851902572,47.09268774156208,#7f6000
luigi,0.08099100148097513,54.04092000155048,#7ee051
ness,-0.017008998519025688,49.149589567793775,#e75050
captain-falcon,-0.09220899851902553,45.402343995488984,#d0be22
jigglypuff,-0.18900899851902564,40.660046053035174,#e521e5
peach,0.01759100148097492,50.87950332553864,#e89ce8
daisy,0.016266666666666693,50.813302259627825,#e8d39c
bowser,8.326672684688674e-17,50.000000000000014,#8a6658
ice-climbers,0.027396813997748626,51.36956651591929,#7695b2
sheik,-0.16795880607740096,41.67973947483398,#8948d2
zelda,0.05634924905829013,52.814624624439276,#522f79
dr-mario,0.025382759418565874,51.26892889521866,#d2291e
pichu,0.029852470071322898,51.492254832519805,#ffd966
falco,-0.07350596660074346,46.331123987573534,#a29f9f
marth,-0.16932902020179025,41.61313777529148,#68b3ca
lucina,-0.18523917447631125,40.842096502268454,#a9c3cc
young-link,0.007046831996961073,50.35235338399464,#82e555
ganondorf,-0.10045075094170886,44.99403899727971,#3e1a52
mewtwo,-0.059174602144566595,47.04457110570488,#aa75c7
roy,-0.13063219589494365,43.50497074300218,#c85816
chrom,-0.10393274056242997,44.82173681342747,#2b16c8
mr-game-and-watch,0.13644119392259846,56.780373797670556,#4c4444
meta-knight,-0.04273238633907195,47.864573627138775,#9f7b9d
pit,-0.11347253870058187,44.35031947585928,#dbd825
dark-pit,-0.11194625244070282,44.42567614677057,#43470c
zero-suit-samus,-0.04508780311709329,47.7470237696957,#5464f0
wario,-0.019089604270899035,49.04558800459773,#e5dc4a
snake,0.1594463175678324,57.90582416707517,#57724a
ike,0.0832680199076741,54.15401193974698,#729abf
pokemon-trainer,-0.022551289187176485,48.87257029717535,#e82727
diddy-kong,-0.05296293677432555,47.35419443103718,#a46418
lucas,-0.027928348392619914,48.60387576579777,#b0ac62
sonic,0.05924952929397288,52.95916233277269,#233f85
king-dedede,0.06546344474150065,53.26866751167765,#d7a5a5
olimar,-0.028823702689133104,48.55914184854064,#baafaf
lucario,0.016711686236528297,50.83554830060818,#5b8dba
rob,0.14665034090886384,57.28075903007519,#bcbcbc
toon-link,-0.019545163641455816,49.022817396582155,#65ff6b
wolf,-0.04745118432020152,47.62910151698504,#66588a
villager,-0.009225645371025687,49.53870775582015,#ea9999
mega-man,0.0002471383868056787,50.01235753693464,#2986cc
wii-fit-trainer,0.12144713838680574,56.0429766365696,#d1d8df
rosalina,-0.038552861613194184,48.073215146357185,#9fc5e8
little-mac,-0.001097831350503696,49.945105709952124,#9fe8c2
greninja,0.02583882414386278,51.29171831861563,#004bcc
palutena,0.009082826903515293,50.454151562236284,#037412
pac-man,0.04839672170977896,52.418069281601184,#d6e700
robin,0.09784166259734668,54.87677433009982,#8e7cc3
shulk,0.01250832926401331,50.625415113973595,#c52626
bowser-jr,0.09749876324631115,54.85979104909937,#8fce00
duck-hunt,0.08449876324631113,54.21512113309493,#ffd966
ryu,0.2584487108128244,62.64280421289826,#894141
ken,0.28404871081282457,63.833060702409696,#ca5d5d
cloud,0.0,50.0,#676767
corrin,-0.1815129747625773,41.02228752199341,#cacaca
bayonetta,0.10370646458558538,55.167069915113565,#20124d
inkling,-6.245004513516506e-17,49.99999999999999,#eab11f
ridley,-0.023158806077401166,48.842208798578966,#720564
simon,0.02623166026466682,51.311347796631864,#714b0f
richter,0.13618122961610535,56.76761352403121,#134f5c
king-k-rool,0.002122168828812096,50.10611358754905,#057218
isabelle,-0.01159338003278848,49.420327987829346,#f2ff4f
incineroar,0.029535771028871532,51.47643304499388,#d86448
piranha-plant,-0.04020539370274359,47.99071244645301,#5caa46
joker,-0.16555331212966462,41.79673613844739,#c70000
hero,-0.03714059035678828,48.14373116446415,#c425cc
banjo-and-kazooie,0.0316094096432117,51.580023258853615,#a2cc25
terry,0.10627467679371531,55.29408153330637,#e5b1b1
byleth,-0.15008104879821793,42.551418879852136,#33dbb9
min-min,0.1354233786425889,56.73040950657649,#bf9000
steve,0.1707328183814221,58.45506459121415,#85afb7
sephiroth,-0.12013546476470359,44.0216625038115,#999999
pyra-and-mythra,-0.06556748354163747,46.7261525559817,#c069a5
kazuya,0.11353206328333937,55.652618881250326,#5e5e5e
sora,-0.06510418224256781,46.74922015839486,#cc6756
